theme,sub_theme,feature_name,coordinates,lat,long
Visitor Centre,Visitor Centre,Melbourne Visitor Booth,"-37.8139525061193, 144.964425882562",-37.8139525061193,144.964425882562
Visitor Centre,Visitor Centre,Melbourne Visitor Centre,"-37.8177352402006, 144.967937138226",-37.8177352402006,144.967937138226
