Sensor_ID,Year,Month,Hourly_Counts,sensor_description,sensor_name,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
1,2013,December,1534.7096774193549,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2013,February,1087.6339285714287,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2013,January,1063.4489247311828,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2013,July,1128.8387096774193,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2013,June,1077.4902777777777,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2013,March,1119.6129032258063,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2013,May,1079.893817204301,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2013,November,1216.8958333333333,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2013,October,1075.1951547779274,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2013,September,1049.6666666666667,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2014,April,1252.7944444444445,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2014,August,1008.1680107526881,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2014,February,1171.626488095238,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2014,January,1072.9327956989248,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2014,July,1076.4448924731182,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2014,June,1040.7666666666667,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2014,March,1136.467741935484,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2014,May,1111.592741935484,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2014,November,1098.3861111111112,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2014,October,1075.3028263795425,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
1,2014,September,1017.8458333333333,Bourke Street Mall (North),Bou292_T,2009/03/24,A,,East,West,-37.8134944,144.96515324,"(-37.8134944, 144.96515324)"
