Sensor_Name,Time,Day,Hourly_Counts,latitude,longitude
231 Bourke St,0,Friday,122.70588235294117,-37.81333081,144.96675572
231 Bourke St,0,Monday,93.68571428571428,-37.81333081,144.96675572
231 Bourke St,0,Saturday,342.4,-37.81333081,144.96675572
231 Bourke St,0,Sunday,410.85714285714283,-37.81333081,144.96675572
231 Bourke St,0,Thursday,79.58823529411765,-37.81333081,144.96675572
231 Bourke St,0,Tuesday,64.14285714285714,-37.81333081,144.96675572
231 Bourke St,0,Wednesday,76.8,-37.81333081,144.96675572
231 Bourke St,1,Friday,85.11764705882354,-37.81333081,144.96675572
231 Bourke St,1,Monday,52.97142857142857,-37.81333081,144.96675572
231 Bourke St,1,Saturday,257.0,-37.81333081,144.96675572
231 Bourke St,1,Sunday,322.62857142857143,-37.81333081,144.96675572
231 Bourke St,1,Thursday,48.3235294117647,-37.81333081,144.96675572
231 Bourke St,1,Tuesday,35.77142857142857,-37.81333081,144.96675572
231 Bourke St,1,Wednesday,42.65714285714286,-37.81333081,144.96675572
231 Bourke St,2,Friday,62.61764705882353,-37.81333081,144.96675572
231 Bourke St,2,Monday,39.65714285714286,-37.81333081,144.96675572
231 Bourke St,2,Saturday,165.37142857142857,-37.81333081,144.96675572
231 Bourke St,2,Sunday,224.6,-37.81333081,144.96675572
231 Bourke St,2,Thursday,32.029411764705884,-37.81333081,144.96675572
231 Bourke St,2,Tuesday,30.97142857142857,-37.81333081,144.96675572
231 Bourke St,2,Wednesday,31.0,-37.81333081,144.96675572
231 Bourke St,3,Friday,44.205882352941174,-37.81333081,144.96675572
231 Bourke St,3,Monday,31.2,-37.81333081,144.96675572
231 Bourke St,3,Saturday,121.54285714285714,-37.81333081,144.96675572
231 Bourke St,3,Sunday,184.5142857142857,-37.81333081,144.96675572
231 Bourke St,3,Thursday,19.470588235294116,-37.81333081,144.96675572
231 Bourke St,3,Tuesday,21.457142857142856,-37.81333081,144.96675572
231 Bourke St,3,Wednesday,25.771428571428572,-37.81333081,144.96675572
231 Bourke St,4,Friday,27.38235294117647,-37.81333081,144.96675572
231 Bourke St,4,Monday,23.685714285714287,-37.81333081,144.96675572
231 Bourke St,4,Saturday,43.6,-37.81333081,144.96675572
231 Bourke St,4,Sunday,66.51428571428572,-37.81333081,144.96675572
231 Bourke St,4,Thursday,20.441176470588236,-37.81333081,144.96675572
231 Bourke St,4,Tuesday,18.457142857142856,-37.81333081,144.96675572
231 Bourke St,4,Wednesday,45.94285714285714,-37.81333081,144.96675572
231 Bourke St,5,Friday,28.11764705882353,-37.81333081,144.96675572
