Description,Co-ordinates,lat,lon
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Docklands Park,"(-37.81961616571647, 144.94608043349226)",-37.81961616571647,144.94608043349226
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.815185695578855, 144.95257756009232)",-37.815185695578855,144.95257756009232
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.824688315009205, 144.94695310036423)",-37.824688315009205,144.94695310036423
Drinking Fountain - Stainless Steel Drinking Fountain - Northbank Type,"(-37.819376190936254, 144.96425791163875)",-37.819376190936254,144.96425791163875
Drinking Fountain - Stainless Steel Drinking Fountain - Old Docklands Type,"(-37.81337112781817, 144.94357125504956)",-37.81337112781817,144.94357125504956
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Docklands Park,"(-37.82089072956917, 144.94692985249003)",-37.82089072956917,144.94692985249003
Drinking Fountain - Treated Timber Drinking Fountain - Carlton Gardens South,"(-37.80719483579952, 144.97264821832775)",-37.80719483579952,144.97264821832775
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Carlton Gardens North,"(-37.80211398428, 144.97283100368065)",-37.80211398428,144.97283100368065
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.809593623030885, 144.96424038761432)",-37.809593623030885,144.96424038761432
Drinking fountain - unspecified type - Princes Park,"(-37.7836624497961, 144.95999863520058)",-37.7836624497961,144.95999863520058
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81536210793982, 144.97970486535712)",-37.81536210793982,144.97970486535712
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.79431438564634, 144.9302959180467)",-37.79431438564634,144.9302959180467
Drinking Fountain - Treated Timber Drinking Fountain - Miles & Dodds Street Reserve,"(-37.828673986591355, 144.9672264971803)",-37.828673986591355,144.9672264971803
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Fitzroy Gardens,"(-37.810693329155406, 144.983071937749)",-37.810693329155406,144.983071937749
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.810438177722986, 144.96409803572945)",-37.810438177722986,144.96409803572945
Drinking Fountain - Urban design stainless steel,"(-37.79337819173264, 144.94004830856508)",-37.79337819173264,144.94004830856508
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.799615873678334, 144.96425054146184)",-37.799615873678334,144.96425054146184
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.814969228345504, 144.96035042039261)",-37.814969228345504,144.96035042039261
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81932147571993, 144.94249797871333)",-37.81932147571993,144.94249797871333
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Shrine of Remembrance Reserve,"(-37.83028525455125, 144.97264952949166)",-37.83028525455125,144.97264952949166
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.80750643106099, 144.9685049927858)",-37.80750643106099,144.9685049927858
Drinking fountain - unspecified type - Alexandra Park,"(-37.819571118805214, 144.97182464875007)",-37.819571118805214,144.97182464875007
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Royal Park,"(-37.780205363639304, 144.95293574839906)",-37.780205363639304,144.95293574839906
Drinking Fountain - Ornamental Drinking Fountain - Errol St North Melbourne,"(-37.80333644461803, 144.94973046402842)",-37.80333644461803,144.94973046402842
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.8200996090771, 144.96520412105647)",-37.8200996090771,144.96520412105647
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81191194838843, 144.97076931535327)",-37.81191194838843,144.97076931535327
Drinking Fountain - Treated Timber Drinking Fountain - JJ Holland Park,"(-37.798924491881245, 144.92595592847908)",-37.798924491881245,144.92595592847908
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.812430045460935, 144.96501543858767)",-37.812430045460935,144.96501543858767
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Powlett Reserve,"(-37.81108547106561, 144.986823716213)",-37.81108547106561,144.986823716213
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.814695182979264, 144.93847737611912)",-37.814695182979264,144.93847737611912
Drinking Fountain - Treated Timber Drinking Fountain - Ievers Reserve,"(-37.79634473440512, 144.95295625926101)",-37.79634473440512,144.95295625926101
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.82337609495653, 144.9798517032086)",-37.82337609495653,144.9798517032086
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.818939263478214, 144.94348692912953)",-37.818939263478214,144.94348692912953
Drinking Fountain - Concrete Drinking Fountain,"(-37.77845421707277, 144.95603509792244)",-37.77845421707277,144.95603509792244
Drinking Fountain - Leaf Type - Dog Bowl  - Kings Domain South,"(-37.83352412979702, 144.98347223277543)",-37.83352412979702,144.98347223277543
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81655981940826, 144.958479412123)",-37.81655981940826,144.958479412123
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81386555249958, 144.96475087670643)",-37.81386555249958,144.96475087670643
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.78297956185507, 144.9418702885437)",-37.78297956185507,144.9418702885437
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81906773607154, 144.95451978482612)",-37.81906773607154,144.95451978482612
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.81262231879966, 144.95695726799045)",-37.81262231879966,144.95695726799045
Drinking Fountain - Leaf Type - With Bottle Refill Tap - Royal Park,"(-37.79542994425931, 144.95202812794676)",-37.79542994425931,144.95202812794676
Drinking Fountain - Leaf Type - Dog Bowl  - Royal Park,"(-37.78972452756684, 144.95542692736785)",-37.78972452756684,144.95542692736785
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81767138974231, 144.9462535088493)",-37.81767138974231,144.9462535088493
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.81949228639884, 144.94459499380662)",-37.81949228639884,144.94459499380662
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.807152962975586, 144.95128617901676)",-37.807152962975586,144.95128617901676
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type,"(-37.79275280598382, 144.96844335889637)",-37.79275280598382,144.96844335889637
Drinking Fountain - Drinking Fountain - Type 1,"(-37.81013008750712, 144.99100554178736)",-37.81013008750712,144.99100554178736
Drinking Fountain - Stainless Steel Drinking Fountain - Leaf Type - Bottle Refill Tap,"(-37.811050947085775, 144.96714245008525)",-37.811050947085775,144.96714245008525
